"States and selected areas:  Employment status of the civilian noninstitutional population,",,,,,,,,,
1976 to 2025(1) annual averages,,,,,,,,,
,,,,,,,,,
FIPS Code,State and area,Year,Civilian non-institutional population,Civilian labor force,,,,,
,,,,Total,Percent of population,Employment,,Unemployment,
,,,,,,Total,Percent of population,Total,Rate
,,,,,,Labor force,,level,rate
,,,,,,,,,
01,Alabama,1976,"26,32,667   ","15,00,615   ",57.0   ,"13,99,921   ",53.2   ,"1,00,694   ",6.7   
02,Alaska,1976,"2,39,917   ","1,64,450   ",68.5   ,"1,51,844   ",63.3   ,"12,606   ",7.7   
04,Arizona,1976,"16,50,917   ","9,81,641   ",59.5   ,"8,85,169   ",53.6   ,"96,472   ",9.8   
05,Arkansas,1976,"15,46,583   ","8,93,849   ",57.8   ,"8,32,100   ",53.8   ,"61,749   ",6.9   
06,California,1976,"1,58,23,750   ","98,92,525   ",62.5   ,"89,82,727   ",56.8   ,"9,09,798   ",9.2   
037,Los Angeles County,1976,"53,20,083   ","33,90,927   ",63.7   ,"30,89,800   ",58.1   ,"3,01,127   ",8.9   
08,Colorado,1976,"18,58,250   ","12,41,861   ",66.8   ,"11,67,716   ",62.8   ,"74,145   ",6.0   
09,Connecticut,1976,"22,60,083   ","14,51,846   ",64.2   ,"13,18,663   ",58.3   ,"1,33,183   ",9.2   
10,Delaware,1976,"4,20,667   ","2,63,764   ",62.7   ,"2,40,906   ",57.3   ,"22,858   ",8.7   
11,District of Columbia,1976,"5,17,250   ","3,32,022   ",64.2   ,"3,03,139   ",58.6   ,"28,883   ",8.7   
12,Florida,1976,"65,09,000   ","35,98,839   ",55.3   ,"32,64,416   ",50.2   ,"3,34,423   ",9.3   
13,Georgia,1976,"35,57,750   ","22,70,404   ",63.8   ,"20,85,187   ",58.6   ,"1,85,217   ",8.2   
15,Hawaii,1976,"5,91,833   ","4,09,851   ",69.3   ,"3,72,252   ",62.9   ,"37,599   ",9.2   
16,Idaho,1976,"5,89,333   ","3,72,484   ",63.2   ,"3,51,593   ",59.7   ,"20,891   ",5.6   
17,Illinois,1976,"81,77,500   ","51,47,046   ",62.9   ,"48,10,302   ",58.8   ,"3,36,744   ",6.5   
18,Indiana,1976,"38,12,500   ","24,38,409   ",64.0   ,"22,90,238   ",60.1   ,"1,48,171   ",6.1   
19,Iowa,1976,"20,81,583   ","13,38,535   ",64.3   ,"12,82,842   ",61.6   ,"55,693   ",4.2   
20,Kansas,1976,"16,47,583   ","10,77,340   ",65.4   ,"10,32,679   ",62.7   ,"44,661   ",4.1   
21,Kentucky,1976,"24,86,500   ","14,93,465   ",60.1   ,"14,12,199   ",56.8   ,"81,266   ",5.4   
22,Louisiana,1976,"27,07,250   ","15,32,221   ",56.6   ,"14,30,872   ",52.9   ,"1,01,349   ",6.6   
23,Maine,1976,"7,72,833   ","4,76,111   ",61.6   ,"4,34,945   ",56.3   ,"41,166   ",8.6   
24,Maryland,1976,"29,77,417   ","19,12,208   ",64.2   ,"17,85,342   ",60.0   ,"1,26,866   ",6.6   
25,Massachusetts,1976,"42,12,167   ","27,27,705   ",64.8   ,"24,60,609   ",58.4   ,"2,67,096   ",9.8   
26,Michigan,1976,"64,53,167   ","39,83,699   ",61.7   ,"36,08,680   ",55.9   ,"3,75,019   ",9.4   
27,Minnesota,1976,"28,12,250   ","18,48,717   ",65.7   ,"17,41,662   ",61.9   ,"1,07,055   ",5.8   
28,Mississippi,1976,"16,57,167   ","9,70,119   ",58.5   ,"9,06,906   ",54.7   ,"63,213   ",6.5   
29,Missouri,1976,"34,86,917   ","21,23,405   ",60.9   ,"19,91,342   ",57.1   ,"1,32,063   ",6.2   
30,Montana,1976,"5,36,667   ","3,34,039   ",62.2   ,"3,14,166   ",58.5   ,"19,873   ",5.9   
31,Nebraska,1976,"11,01,167   ","7,15,076   ",64.9   ,"6,92,532   ",62.9   ,"22,544   ",3.2   
32,Nevada,1976,"4,63,417   ","3,27,990   ",70.8   ,"2,99,003   ",64.5   ,"28,987   ",8.8   
33,New Hampshire,1976,"6,02,000   ","3,98,208   ",66.1   ,"3,72,607   ",61.9   ,"25,601   ",6.4   
34,New Jersey,1976,"53,82,750   ","33,21,131   ",61.7   ,"29,75,947   ",55.3   ,"3,45,184   ",10.4   
35,New Mexico,1976,"8,08,000   ","4,87,474   ",60.3   ,"4,44,908   ",55.1   ,"42,566   ",8.7   
36,New York,1976,"1,32,21,750   ","76,75,931   ",58.1   ,"68,90,638   ",52.1   ,"7,85,293   ",10.2   
51000,New York city,1976,"56,79,083   ","30,74,365   ",54.1   ,"27,32,412   ",48.1   ,"3,41,953   ",11.1   
37,North Carolina,1976,"39,37,333   ","26,07,795   ",66.2   ,"24,44,932   ",62.1   ,"1,62,863   ",6.2   
38,North Dakota,1976,"4,46,250   ","2,80,260   ",62.8   ,"2,69,603   ",60.4   ,"10,657   ",3.8   
39,Ohio,1976,"77,31,000   ","47,51,112   ",61.5   ,"43,83,254   ",56.7   ,"3,67,858   ",7.7   
40,Oklahoma,1976,"20,20,583   ","11,92,532   ",59.0   ,"11,25,887   ",55.7   ,"66,645   ",5.6   
41,Oregon,1976,"17,39,583   ","10,96,938   ",63.1   ,"9,94,687   ",57.2   ,"1,02,251   ",9.3   
42,Pennsylvania,1976,"88,07,167   ","51,35,350   ",58.3   ,"47,24,246   ",53.6   ,"4,11,104   ",8.0   
44,Rhode Island,1976,"6,95,750   ","4,41,582   ",63.5   ,"4,06,183   ",58.4   ,"35,399   ",8.0   
45,South Carolina,1976,"20,07,417   ","12,98,668   ",64.7   ,"12,07,409   ",60.1   ,"91,259   ",7.0   
46,South Dakota,1976,"4,80,583   ","3,11,866   ",64.9   ,"3,01,348   ",62.7   ,"10,518   ",3.4   
47,Tennessee,1976,"31,12,917   ","18,59,433   ",59.7   ,"17,45,655   ",56.1   ,"1,13,778   ",6.1   
48,Texas,1976,"89,57,667   ","56,97,726   ",63.6   ,"53,66,318   ",59.9   ,"3,31,408   ",5.8   
49,Utah,1976,"8,36,417   ","5,24,995   ",62.8   ,"4,95,591   ",59.3   ,"29,404   ",5.6   
50,Vermont,1976,"3,42,917   ","2,18,251   ",63.6   ,"2,00,286   ",58.4   ,"17,965   ",8.2   
51,Virginia,1976,"35,78,083   ","23,39,607   ",65.4   ,"22,02,015   ",61.5   ,"1,37,592   ",5.9   
53,Washington,1976,"26,33,667   ","16,16,057   ",61.4   ,"14,74,505   ",56.0   ,"1,41,552   ",8.8   
54,West Virginia,1976,"13,66,917   ","7,08,264   ",51.8   ,"6,57,388   ",48.1   ,"50,876   ",7.2   
55,Wisconsin,1976,"32,66,333   ","21,46,137   ",65.7   ,"20,26,390   ",62.0   ,"1,19,747   ",5.6   
56,Wyoming,1976,"2,75,500   ","1,80,542   ",65.5   ,"1,73,486   ",63.0   ,"7,056   ",3.9   
01,Alabama,1977,"26,88,917   ","15,63,594   ",58.1   ,"14,52,205   ",54.0   ,"1,11,389   ",7.1   
02,Alaska,1977,"2,48,083   ","1,73,464   ",69.9   ,"1,56,535   ",63.1   ,"16,929   ",9.8   
04,Arizona,1977,"17,26,250   ","10,42,825   ",60.4   ,"9,55,224   ",55.3   ,"87,601   ",8.4   
05,Arkansas,1977,"15,81,917   ","9,24,497   ",58.4   ,"8,64,630   ",54.7   ,"59,867   ",6.5   
06,California,1977,"1,62,77,917   ","1,03,73,015   ",63.7   ,"95,04,657   ",58.4   ,"8,68,358   ",8.4   
037,Los Angeles County,1977,"53,94,417   ","34,63,636   ",64.2   ,"31,83,819   ",59.0   ,"2,79,817   ",8.1   
08,Colorado,1977,"19,23,667   ","12,95,181   ",67.3   ,"12,13,371   ",63.1   ,"81,810   ",6.3   
09,Connecticut,1977,"22,86,000   ","14,85,777   ",65.0   ,"13,81,208   ",60.4   ,"1,04,569   ",7.0   
10,Delaware,1977,"4,28,583   ","2,72,109   ",63.5   ,"2,49,896   ",58.3   ,"22,213   ",8.2   
11,District of Columbia,1977,"5,12,500   ","3,27,546   ",63.9   ,"2,99,505   ",58.4   ,"28,041   ",8.6   
12,Florida,1977,"67,20,167   ","37,30,425   ",55.5   ,"34,22,065   ",50.9   ,"3,08,360   ",8.3   
13,Georgia,1977,"36,46,333   ","23,29,611   ",63.9   ,"21,68,157   ",59.5   ,"1,61,454   ",6.9   
15,Hawaii,1977,"6,08,917   ","4,17,073   ",68.5   ,"3,85,647   ",63.3   ,"31,426   ",7.5   
16,Idaho,1977,"6,11,000   ","3,97,049   ",65.0   ,"3,73,740   ",61.2   ,"23,309   ",5.9   
17,Illinois,1977,"82,80,750   ","52,86,687   ",63.8   ,"49,59,428   ",59.9   ,"3,27,259   ",6.2   
18,Indiana,1977,"38,68,417   ","24,84,950   ",64.2   ,"23,41,895   ",60.5   ,"1,43,055   ",5.8   
19,Iowa,1977,"21,09,250   ","13,85,948   ",65.7   ,"13,30,065   ",63.1   ,"55,883   ",4.0   
20,Kansas,1977,"16,73,667   ","11,10,166   ",66.3   ,"10,67,006   ",63.8   ,"43,160   ",3.9   
21,Kentucky,1977,"25,38,167   ","15,37,832   ",60.6   ,"14,63,254   ",57.7   ,"74,578   ",4.8   
22,Louisiana,1977,"27,75,417   ","16,01,603   ",57.7   ,"14,90,729   ",53.7   ,"1,10,874   ",6.9   
23,Maine,1977,"7,90,083   ","4,80,599   ",60.8   ,"4,40,348   ",55.7   ,"40,251   ",8.4   
24,Maryland,1977,"30,30,250   ","19,69,310   ",65.0   ,"18,49,405   ",61.0   ,"1,19,905   ",6.1   
25,Massachusetts,1977,"42,54,167   ","27,53,330   ",64.7   ,"25,36,924   ",59.6   ,"2,16,406   ",7.9   
26,Michigan,1977,"65,43,083   ","41,09,294   ",62.8   ,"37,71,768   ",57.6   ,"3,37,526   ",8.2   
27,Minnesota,1977,"28,61,667   ","19,19,749   ",67.1   ,"18,18,464   ",63.5   ,"1,01,285   ",5.3   
28,Mississippi,1977,"16,90,583   ","9,93,611   ",58.8   ,"9,22,082   ",54.5   ,"71,529   ",7.2   
29,Missouri,1977,"35,35,000   ","22,04,297   ",62.4   ,"20,72,054   ",58.6   ,"1,32,243   ",6.0   
30,Montana,1977,"5,50,500   ","3,48,780   ",63.4   ,"3,27,199   ",59.4   ,"21,581   ",6.2   
31,Nebraska,1977,"11,14,417   ","7,40,271   ",66.4   ,"7,15,354   ",64.2   ,"24,917   ",3.4   
32,Nevada,1977,"4,92,500   ","3,50,765   ",71.2   ,"3,26,882   ",66.4   ,"23,883   ",6.8   
33,New Hampshire,1977,"6,25,667   ","4,18,944   ",67.0   ,"3,95,710   ",63.2   ,"23,234   ",5.5   
34,New Jersey,1977,"54,36,833   ","33,86,590   ",62.3   ,"30,70,037   ",56.5   ,"3,16,553   ",9.3   
35,New Mexico,1977,"8,38,583   ","5,11,830   ",61.0   ,"4,72,384   ",56.3   ,"39,446   ",7.7   
36,New York,1977,"1,32,44,083   ","77,31,821   ",58.4   ,"70,23,829   ",53.0   ,"7,07,992   ",9.2   
51000,New York city,1977,"56,18,250   ","30,60,116   ",54.5   ,"27,48,902   ",48.9   ,"3,11,214   ",10.2   
37,North Carolina,1977,"40,27,333   ","26,84,570   ",66.7   ,"25,26,540   ",62.7   ,"1,58,030   ",5.9   
38,North Dakota,1977,"4,53,417   ","2,88,469   ",63.6   ,"2,75,671   ",60.8   ,"12,798   ",4.4   
39,Ohio,1977,"78,12,167   ","48,31,332   ",61.8   ,"45,18,935   ",57.8   ,"3,12,397   ",6.5   
40,Oklahoma,1977,"20,65,583   ","12,40,130   ",60.0   ,"11,81,129   ",57.2   ,"59,001   ",4.8   
41,Oregon,1977,"18,00,333   ","11,51,895   ",64.0   ,"10,66,485   ",59.2   ,"85,410   ",7.4   
42,Pennsylvania,1977,"88,79,000   ","52,10,584   ",58.7   ,"48,08,178   ",54.2   ,"4,02,406   ",7.7   
44,Rhode Island,1977,"7,06,083   ","4,49,144   ",63.6   ,"4,12,920   ",58.5   ,"36,224   ",8.1   
45,South Carolina,1977,"20,61,250   ","13,26,585   ",64.4   ,"12,36,934   ",60.0   ,"89,651   ",6.8   
46,South Dakota,1977,"4,86,583   ","3,18,691   ",65.5   ,"3,07,876   ",63.3   ,"10,815   ",3.4   
47,Tennessee,1977,"31,88,167   ","19,36,837   ",60.8   ,"18,16,156   ",57.0   ,"1,20,681   ",6.2   
48,Texas,1977,"92,43,167   ","59,63,232   ",64.5   ,"56,39,355   ",61.0   ,"3,23,877   ",5.4   
49,Utah,1977,"8,66,000   ","5,46,697   ",63.1   ,"5,18,236   ",59.8   ,"28,461   ",5.2   
50,Vermont,1977,"3,51,583   ","2,27,947   ",64.8   ,"2,12,019   ",60.3   ,"15,928   ",7.0   
51,Virginia,1977,"36,67,667   ","24,02,669   ",65.5   ,"22,71,354   ",61.9   ,"1,31,315   ",5.5   
53,Washington,1977,"27,19,000   ","17,08,029   ",62.8   ,"15,65,199   ",57.6   ,"1,42,830   ",8.4   
54,West Virginia,1977,"13,94,583   ","7,19,521   ",51.6   ,"6,69,856   ",48.0   ,"49,665   ",6.9   
55,Wisconsin,1977,"33,19,417   ","21,87,585   ",65.9   ,"20,77,001   ",62.6   ,"1,10,584   ",5.1   
56,Wyoming,1977,"2,88,833   ","1,95,237   ",67.6   ,"1,88,744   ",65.3   ,"6,493   ",3.3   
01,Alabama,1978,"27,45,083   ","16,19,692   ",59.0   ,"15,14,671   ",55.2   ,"1,05,021   ",6.5   
02,Alaska,1978,"2,55,000   ","1,82,160   ",71.4   ,"1,62,741   ",63.8   ,"19,419   ",10.7   
04,Arizona,1978,"18,09,083   ","10,85,110   ",60.0   ,"10,20,576   ",56.4   ,"64,534   ",5.9   
05,Arkansas,1978,"16,16,250   ","9,47,223   ",58.6   ,"8,88,262   ",55.0   ,"58,961   ",6.2   
06,California,1978,"1,67,61,667   ","1,09,14,879   ",65.1   ,"1,01,35,587   ",60.5   ,"7,79,292   ",7.1   
037,Los Angeles County,1978,"54,85,500   ","35,97,187   ",65.6   ,"33,51,494   ",61.1   ,"2,45,693   ",6.8   
08,Colorado,1978,"19,94,750   ","13,53,528   ",67.9   ,"12,78,333   ",64.1   ,"75,195   ",5.6   
09,Connecticut,1978,"23,12,833   ","15,12,562   ",65.4   ,"14,32,247   ",61.9   ,"80,315   ",5.3   
10,Delaware,1978,"4,34,750   ","2,77,169   ",63.8   ,"2,57,618   ",59.3   ,"19,551   ",7.1   
11,District of Columbia,1978,"5,08,750   ","3,32,994   ",65.5   ,"3,07,293   ",60.4   ,"25,701   ",7.7   
12,Florida,1978,"69,70,583   ","39,61,546   ",56.8   ,"36,92,603   ",53.0   ,"2,68,943   ",6.8   
13,Georgia,1978,"37,32,167   ","24,11,350   ",64.6   ,"22,73,425   ",60.9   ,"1,37,925   ",5.7   
15,Hawaii,1978,"6,24,167   ","4,21,691   ",67.6   ,"3,92,269   ",62.8   ,"29,422   ",7.0   
16,Idaho,1978,"6,31,667   ","4,14,751   ",65.7   ,"3,91,937   ",62.0   ,"22,814   ",5.5   
17,Illinois,1978,"83,65,417   ","54,22,917   ",64.8   ,"50,96,902   ",60.9   ,"3,26,015   ",6.0   
18,Indiana,1978,"39,28,917   ","25,83,919   ",65.8   ,"24,39,912   ",62.1   ,"1,44,007   ",5.6   
19,Iowa,1978,"21,29,333   ","14,15,797   ",66.5   ,"13,60,723   ",63.9   ,"55,074   ",3.9   
20,Kansas,1978,"16,97,750   ","11,35,794   ",66.9   ,"11,01,120   ",64.9   ,"34,674   ",3.1   
21,Kentucky,1978,"25,81,583   ","15,76,591   ",61.1   ,"14,96,608   ",58.0   ,"79,983   ",5.1   
22,Louisiana,1978,"28,36,500   ","16,67,189   ",58.8   ,"15,53,455   ",54.8   ,"1,13,734   ",6.8   
23,Maine,1978,"8,05,333   ","4,85,432   ",60.3   ,"4,54,300   ",56.4   ,"31,132   ",6.4   
24,Maryland,1978,"30,76,917   ","20,50,467   ",66.6   ,"19,36,450   ",62.9   ,"1,14,017   ",5.6   
25,Massachusetts,1978,"42,97,167   ","28,15,479   ",65.5   ,"26,42,147   ",61.5   ,"1,73,332   ",6.2   
26,Michigan,1978,"66,34,500   ","42,20,924   ",63.6   ,"39,24,773   ",59.2   ,"2,96,151   ",7.0   
27,Minnesota,1978,"29,07,500   ","19,78,503   ",68.0   ,"18,99,967   ",65.3   ,"78,536   ",4.0   
28,Mississippi,1978,"17,22,000   ","10,09,957   ",58.7   ,"9,41,591   ",54.7   ,"68,366   ",6.8   
29,Missouri,1978,"35,81,750   ","22,61,997   ",63.2   ,"21,51,197   ",60.1   ,"1,10,800   ",4.9   
30,Montana,1978,"5,64,667   ","3,64,452   ",64.5   ,"3,44,035   ",60.9   ,"20,417   ",5.6   
31,Nebraska,1978,"11,27,167   ","7,52,855   ",66.8   ,"7,30,576   ",64.8   ,"22,279   ",3.0   
